"Raça/cor";"1980";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"Branca";0;4;1;4;8;18;28;38;40;69;87;118;137;194;290;461;588;860;891;9239;10460;12854;14333;13565;12955;12736;12840;13591;13456;13703;14163;13792;13164;11950;10833;9562;9010;7865;6581;1936;242424
"Preta";0;1;0;1;2;0;5;7;5;6;12;18;18;21;26;56;74;132;130;1598;1911;2395;2911;3138;2952;2778;2943;3028;3011;3027;3104;3115;3103;2869;2676;2639;2461;2181;1915;541;54810
"Amarela";0;0;0;0;0;0;0;1;0;0;0;0;3;1;1;3;1;5;5;118;91;121;158;146;182;152;170;128;136;141;151;150;130;118;113;106;104;111;116;34;2696
"Parda";0;3;1;4;5;6;14;9;11;31;24;42;43;64;109;162;259;367;404;4106;4628;5922;6997;7697;8025;7927;8753;9524;10230;10848;11495;12272;13052;12491;11270;10332;10231;9539;8428;2474;187799
"Indígena";0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;2;62;55;38;41;42;45;55;92;68;82;105;93;105;87;74;79;83;75;73;60;24;1445
"Ignorado";1;9;39;125;519;1096;2656;4293;5952;8543;11394;14058;16212;17748;20385;22988;25032;27472;25082;21360;17797;18068;13745;13767;14071;13995;13914;14886;14277;12951;13766;13046;13832;14633;16024;16703;16654;18271;20208;6871;522443
"Total";1;17;42;134;534;1120;2703;4348;6008;8650;11517;14237;16413;18028;20811;23670;25954;28838;26514;36483;34942;39398;38185;38355;38230;37643;38712;41225;41192;40775;42772;42480;43368;42135;40995;39425;38535;38040;37308;11880;1011617
